school_id,year,school_year_label,school_name_raw,school_id_outcome,municipality,county,municipality_code_raw,county_code_raw,organisation_number_raw,subject_code_raw,subject_name_raw,boy_grade_raw,girl_grade_raw,boy_count_raw,girl_count_raw,boy_grade,girl_grade,boy_count,girl_count,boy_grade_suppressed,girl_grade_suppressed,boy_count_suppressed,girl_count_suppressed,treatment_year_raw,first_treat_year_raw_clean,first_treat_year,ever_treated,gvar,post,flex,event_time,cohort_label,studentgrade_boy,studentgrade_girl
Alta ungdomskole,2007,2007-08,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.6,3.7,55,55,3.6,3.7,55.0,55.0,False,False,False,False,2017,2017,2017,1,2017,0,-10.0,-10.0,Cohort 2017,3.6,3.7
Alta ungdomskole,2008,2008-09,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.1,3.3,67,63,3.1,3.3,67.0,63.0,False,False,False,False,2017,2017,2017,1,2017,0,-9.0,-9.0,Cohort 2017,3.1,3.3
Alta ungdomskole,2009,2009-10,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.4,3.6,70,59,3.4,3.6,70.0,59.0,False,False,False,False,2017,2017,2017,1,2017,0,-8.0,-8.0,Cohort 2017,3.4,3.6
Alta ungdomskole,2010,2010-11,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.3,3.6,66,69,3.3,3.6,66.0,69.0,False,False,False,False,2017,2017,2017,1,2017,0,-7.0,-7.0,Cohort 2017,3.3,3.6
Alta ungdomskole,2011,2011-12,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.2,3.2,69,53,3.2,3.2,69.0,53.0,False,False,False,False,2017,2017,2017,1,2017,0,-6.0,-6.0,Cohort 2017,3.2,3.2
Alta ungdomskole,2012,2012-13,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.1,77,74,3.0,3.1,77.0,74.0,False,False,False,False,2017,2017,2017,1,2017,0,-5.0,-5.0,Cohort 2017,3.0,3.1
Alta ungdomskole,2013,2013-14,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.4,3.5,71,61,3.4,3.5,71.0,61.0,False,False,False,False,2017,2017,2017,1,2017,0,-4.0,-4.0,Cohort 2017,3.4,3.5
Alta ungdomskole,2014,2014-15,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.2,3.1,85,86,3.2,3.1,85.0,86.0,False,False,False,False,2017,2017,2017,1,2017,0,-3.0,-3.0,Cohort 2017,3.2,3.1
Alta ungdomskole,2015,2015-16,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.4,64,82,3.0,3.4,64.0,82.0,False,False,False,False,2017,2017,2017,1,2017,0,-2.0,-2.0,Cohort 2017,3.0,3.4
Alta ungdomskole,2016,2016-17,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.5,71,63,3.0,3.5,71.0,63.0,False,False,False,False,2017,2017,2017,1,2017,0,-1.0,-1.0,Cohort 2017,3.0,3.5
