school_id,year,school_year_label,school_name_raw,school_id_outcome,municipality,county,municipality_code_raw,county_code_raw,organisation_number_raw,subject_code_raw,subject_name_raw,boy_grade_raw,girl_grade_raw,boy_count_raw,girl_count_raw,boy_grade,girl_grade,boy_count,girl_count,boy_grade_suppressed,girl_grade_suppressed,boy_count_suppressed,girl_count_suppressed,treatment_year_raw,first_treat_year_raw_clean,first_treat_year,ever_treated,gvar,post,flex,event_time,cohort_label,studentgrade_boy,studentgrade_girl,population,higher_education_share,high_income_household_share_750k_plus,unrestricted_revenues_per_capita,ssb12993_region_code,ssb12993_region_label,teacher_pls_total_teachers_n,teacher_pls_full_time_teachers_n,teacher_pls_full_time_share_pct,teacher_pls_share_long_teacher_education_pct,teacher_pls_share_short_teacher_education_pct,teacher_pls_share_with_teacher_education_pct,teacher_pls_share_with_other_educational_science_pct,teacher_pls_share_without_educational_science_pct,teacher_pls_share_upper_secondary_pct,teacher_pls_share_with_pedagogical_education_pct,ssb12919_region_code,ssb12919_region_label,teacher_all_total_teachers_n,teacher_all_share_with_teacher_education_pct,teacher_all_share_with_other_educational_science_pct,teacher_all_share_with_educational_science_pct,teacher_all_share_without_educational_science_pct,teacher_all_share_upper_secondary_or_less_pct
Alta ungdomskole,2007,2007-08,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.6,3.7,55,55,3.6,3.7,55.0,55.0,False,False,False,False,2017,2017,2017,1,2017,0,-10.0,-10.0,Cohort 2017,3.6,3.7,18090,25.8,10.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2008,2008-09,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.1,3.3,67,63,3.1,3.3,67.0,63.0,False,False,False,False,2017,2017,2017,1,2017,0,-9.0,-9.0,Cohort 2017,3.1,3.3,18272,26.5,14.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2009,2009-10,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.4,3.6,70,59,3.4,3.6,70.0,59.0,False,False,False,False,2017,2017,2017,1,2017,0,-8.0,-8.0,Cohort 2017,3.4,3.6,18488,26.9,14.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2010,2010-11,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.3,3.6,66,69,3.3,3.6,66.0,69.0,False,False,False,False,2017,2017,2017,1,2017,0,-7.0,-7.0,Cohort 2017,3.3,3.6,18680,27.5,17.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2011,2011-12,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.2,3.2,69,53,3.2,3.2,69.0,53.0,False,False,False,False,2017,2017,2017,1,2017,0,-6.0,-6.0,Cohort 2017,3.2,3.2,19071,27.9,20.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2012,2012-13,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.1,77,74,3.0,3.1,77.0,74.0,False,False,False,False,2017,2017,2017,1,2017,0,-5.0,-5.0,Cohort 2017,3.0,3.1,19282,28.3,22.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2013,2013-14,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.4,3.5,71,61,3.4,3.5,71.0,61.0,False,False,False,False,2017,2017,2017,1,2017,0,-4.0,-4.0,Cohort 2017,3.4,3.5,19646,28.5,26.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2014,2014-15,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.2,3.1,85,86,3.2,3.1,85.0,86.0,False,False,False,False,2017,2017,2017,1,2017,0,-3.0,-3.0,Cohort 2017,3.2,3.1,19822,29.4,27.0,,,,,,,,,,,,,,,,,,,,,
Alta ungdomskole,2015,2015-16,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.4,64,82,3.0,3.4,64.0,82.0,False,False,False,False,2017,2017,2017,1,2017,0,-2.0,-2.0,Cohort 2017,3.0,3.4,19898,29.8,29.0,56189.0,20,Finnmark - Finnmárku (-2019),1502.0,1110.0,73.90146471371504,4.92676431424767,68.44207723035952,73.36884154460719,11.318242343541945,5.725699067909454,9.587217043941411,84.68708388814915,EKA20,Finnmark Finnmárk (-2019),1527.0,71.25081859855926,10.870988867059594,82.12180746561886,8.120497707924033,9.757694826457106
Alta ungdomskole,2016,2016-17,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.5,71,63,3.0,3.5,71.0,63.0,False,False,False,False,2017,2017,2017,1,2017,0,-1.0,-1.0,Cohort 2017,3.0,3.5,20097,30.5,30.0,58791.0,20,Finnmark - Finnmárku (-2019),1469.0,1135.0,77.26344452008169,6.262763784887679,67.46085772634444,73.72362151123212,10.959836623553437,5.786249149081008,9.530292716133424,84.68345813478557,EKA20,Finnmark Finnmárk (-2019),1491.0,71.5627095908786,10.663983903420524,82.22669349429913,8.048289738430583,9.725016767270288
Alta ungdomskole,2017,2017-18,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.9,4,76,81,3.9,4.0,76.0,81.0,False,False,False,False,2017,2017,2017,1,2017,1,0.0,0.0,Cohort 2017,3.9,4.0,20446,31.1,32.0,60557.0,20,Finnmark - Finnmárku (-2019),1451.0,1132.0,78.01516195727085,7.443142660234321,66.09235010337699,73.5354927636113,11.09579600275672,6.547208821502412,8.821502412129565,84.63128876636802,EKA20,Finnmark Finnmárk (-2019),1476.0,71.2059620596206,10.569105691056912,81.77506775067751,9.281842818428185,8.94308943089431
Alta ungdomskole,2018,2018-19,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3,3.6,62,65,3.0,3.6,62.0,65.0,False,False,False,False,2017,2017,2017,1,2017,1,1.0,1.0,Cohort 2017,3.0,3.6,20635,31.6,34.0,62475.0,20,Finnmark - Finnmárku (-2019),1428.0,1120.0,78.43137254901961,8.473389355742297,65.33613445378151,73.80952380952381,10.994397759103641,5.812324929971989,9.38375350140056,84.80392156862744,EKA20,Finnmark Finnmárk (-2019),1471.0,70.8361658735554,10.265125764785859,81.10129163834127,9.177430319510536,9.7212780421482
Alta ungdomskole,2019,2019-20,Alta ungdomsskole,Alta ungdomsskole,Alta ( - 2019),Finnmark - Finnmárku ( - 2019),2012,20,874065102,MAT0010,Matematikk 10. årstrinn,3.4,3.2,70,51,3.4,3.2,70.0,51.0,False,False,False,False,2017,2017,2017,1,2017,1,2.0,2.0,Cohort 2017,3.4,3.2,20665,32.1,36.0,64700.0,20,Finnmark - Finnmárku (-2019),1405.0,1115.0,79.35943060498221,10.462633451957295,64.98220640569396,75.44483985765125,10.391459074733095,4.839857651245551,9.323843416370106,85.83629893238434,EKA20,Finnmark Finnmárk (-2019),1459.0,71.28169979437972,9.732693625771075,81.01439342015078,9.252912954078136,9.732693625771075
Alta ungdomskole,2020,2020-21,Alta ungdomsskole,Alta ungdomsskole,Alta (2020 - 2023),Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku (2020 - 2023),5403,54,874065102,MAT0010,Matematikk 10. årstrinn,3.3,3.7,71,58,3.3,3.7,71.0,58.0,False,False,False,False,2017,2017,2017,1,2017,1,3.0,3.0,Cohort 2017,3.3,3.7,20789,32.4,37.0,66746.0,54,Troms og Finnmark - Romsa ja Finnmárku (2020-2023),4124.0,3000.0,72.74490785645004,14.03976721629486,60.96023278370514,75.0,10.66925315227934,5.140640155189137,9.190106692531524,85.66925315227934,EKA54,Troms og Finnmark - Romsa ja Finnmárku (2020-2023),4063.0,74.9938469111494,9.968003937976864,84.96185084912626,4.77479694806793,10.263352202805809
Fedje skule,2009,2009-10,Fedje skule,Fedje skule,Fedje ( - 2019),Hordaland ( - 2019),1265,12,974575523,MAT0010,Matematikk 10. årstrinn,*,*,*,*,,,,,True,True,True,True,Before 2017,2016,2016,1,2016,0,-7.0,-7.0,Cohort 2016,,,596,18.0,14.0,,,,,,,,,,,,,,,,,,,,,
Fedje skule,2010,2010-11,Fedje skule,Fedje skule,Fedje ( - 2019),Hordaland ( - 2019),1265,12,974575523,MAT0010,Matematikk 10. årstrinn,3.5,4.3,6,6,3.5,4.3,6.0,6.0,False,False,False,False,Before 2017,2016,2016,1,2016,0,-6.0,-6.0,Cohort 2016,3.5,4.3,594,17.9,19.0,,,,,,,,,,,,,,,,,,,,,
Fedje skule,2011,2011-12,Fedje skule,Fedje skule,Fedje ( - 2019),Hordaland ( - 2019),1265,12,974575523,MAT0010,Matematikk 10. årstrinn,*,*,*,*,,,,,True,True,True,True,Before 2017,2016,2016,1,2016,0,-5.0,-5.0,Cohort 2016,,,587,18.2,17.0,,,,,,,,,,,,,,,,,,,,,
Fedje skule,2012,2012-13,Fedje skule,Fedje skule,Fedje ( - 2019),Hordaland ( - 2019),1265,12,974575523,MAT0010,Matematikk 10. årstrinn,*,*,*,*,,,,,True,True,True,True,Before 2017,2016,2016,1,2016,0,-4.0,-4.0,Cohort 2016,,,576,18.0,23.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2007,2007-08,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,2.9,3.2,34,21,2.9,3.2,34.0,21.0,False,False,False,False,2016,2016,2016,1,2016,0,-9.0,-9.0,Cohort 2016,2.9,3.2,11027,17.5,7.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2008,2008-09,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3.6,3,28,21,3.6,3.0,28.0,21.0,False,False,False,False,2016,2016,2016,1,2016,0,-8.0,-8.0,Cohort 2016,3.6,3.0,11160,18.1,10.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2009,2009-10,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,2.8,3,32,25,2.8,3.0,32.0,25.0,False,False,False,False,2016,2016,2016,1,2016,0,-7.0,-7.0,Cohort 2016,2.8,3.0,11207,18.8,9.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2010,2010-11,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3.3,2.8,43,28,3.3,2.8,43.0,28.0,False,False,False,False,2016,2016,2016,1,2016,0,-6.0,-6.0,Cohort 2016,3.3,2.8,11243,19.1,12.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2011,2011-12,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3,3.4,45,44,3.0,3.4,45.0,44.0,False,False,False,False,2016,2016,2016,1,2016,0,-5.0,-5.0,Cohort 2016,3.0,3.4,11294,19.6,14.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2012,2012-13,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3,3.1,42,36,3.0,3.1,42.0,36.0,False,False,False,False,2016,2016,2016,1,2016,0,-4.0,-4.0,Cohort 2016,3.0,3.1,11345,20.200000000000003,17.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2013,2013-14,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3,3.7,36,33,3.0,3.7,36.0,33.0,False,False,False,False,2016,2016,2016,1,2016,0,-3.0,-3.0,Cohort 2016,3.0,3.7,11455,20.6,19.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2014,2014-15,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3.2,3.7,47,28,3.2,3.7,47.0,28.0,False,False,False,False,2016,2016,2016,1,2016,0,-2.0,-2.0,Cohort 2016,3.2,3.7,11557,21.3,22.0,,,,,,,,,,,,,,,,,,,,,
Finnsnes ungdomskole,2015,2015-16,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3.5,3.4,47,44,3.5,3.4,47.0,44.0,False,False,False,False,2016,2016,2016,1,2016,0,-1.0,-1.0,Cohort 2016,3.5,3.4,11535,21.6,24.0,56322.0,19,Troms - Romsa (-2019),2674.0,1856.0,69.4091249065071,5.983545250560957,70.86761406133134,76.85115931189229,9.536275243081525,4.973821989528796,8.638743455497382,86.38743455497382,EKA19,Troms - Romsa (-2019),2619.0,75.67773959526536,9.278350515463918,84.95609011072929,6.643757159221077,8.400152730049637
Finnsnes ungdomskole,2016,2016-17,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,2.9,3.5,43,38,2.9,3.5,43.0,38.0,False,False,False,False,2016,2016,2016,1,2016,1,0.0,0.0,Cohort 2016,2.9,3.5,11618,22.4,25.0,58405.0,19,Troms - Romsa (-2019),2692.0,1899.0,70.54234769687965,7.392273402674592,68.23922734026746,75.63150074294205,9.583952451708768,4.86627043090639,9.918276374442794,85.21545319465082,EKA19,Troms - Romsa (-2019),2620.0,74.61832061068702,9.31297709923664,83.93129770992367,6.8320610687022905,9.236641221374047
Finnsnes ungdomskole,2017,2017-18,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3.7,4,46,45,3.7,4.0,46.0,45.0,False,False,False,False,2016,2016,2016,1,2016,1,1.0,1.0,Cohort 2016,3.7,4.0,11697,22.5,26.0,60380.0,19,Troms - Romsa (-2019),2720.0,1907.0,70.11029411764706,9.375,66.50735294117646,75.88235294117646,9.558823529411764,5.257352941176471,9.301470588235293,85.44117647058823,EKA19,Troms - Romsa (-2019),2666.0,74.56864216054014,9.264816204051012,83.83345836459115,7.351837959489872,8.81470367591898
Finnsnes ungdomskole,2018,2018-19,Finnsnes ungdomsskole,Finnsnes ungdomsskole,Lenvik ( - 2019),Troms - Romsa ( - 2019),1931,19,875290762,MAT0010,Matematikk 10. årstrinn,3.4,4,48,39,3.4,4.0,48.0,39.0,False,False,False,False,2016,2016,2016,1,2016,1,2.0,2.0,Cohort 2016,3.4,4.0,11644,23.1,28.0,61452.0,19,Troms - Romsa (-2019),2744.0,1926.0,70.18950437317784,11.18804664723032,63.84839650145773,75.03644314868805,9.693877551020408,5.174927113702624,10.09475218658892,84.73032069970844,EKA19,Troms - Romsa (-2019),2679.0,73.60955580440462,9.40649496080627,83.0160507652109,7.316162747293767,9.667786487495334
Fjell ungdomsskole,2007,2007-08,Fjell ungdomsskule,Fjell ungdomsskule,Fjell ( - 2019),Hordaland ( - 2019),1246,12,975287629,MAT0010,Matematikk 10. årstrinn,3.5,3.5,67,69,3.5,3.5,67.0,69.0,False,False,False,False,2017,2017,2017,1,2017,0,-10.0,-10.0,Cohort 2017,3.5,3.5,20791,21.0,15.0,,,,,,,,,,,,,,,,,,,,,
