municipality_name_clean,municipality_code,year,population,higher_education_share,high_income_household_share_750k_plus,unrestricted_revenues_per_capita
Alta,2012,2007,18090,25.799999999999997,10.0,
Alta,2012,2008,18272,26.5,14.0,
Alta,2012,2009,18488,26.9,14.0,
Alta,2012,2010,18680,27.5,17.0,
Alta,2012,2011,19071,27.900000000000002,20.0,
Alta,2012,2012,19282,28.299999999999997,22.0,
Alta,2012,2013,19646,28.5,26.0,
Alta,2012,2014,19822,29.4,27.0,
Alta,2012,2015,19898,29.8,29.0,56189.0
Alta,2012,2016,20097,30.5,30.0,58791.0
Alta,2012,2017,20446,31.1,32.0,60557.0
Alta,2012,2018,20635,31.6,34.0,62475.0
Alta,2012,2019,20665,32.1,36.0,64700.0
Alta,5403,2020,20789,32.4,37.0,66746.0
Berg,1929,2007,962,13.0,8.0,
Berg,1929,2008,937,13.9,10.0,
Berg,1929,2009,942,13.5,9.0,
Berg,1929,2010,926,13.700000000000001,12.0,
Berg,1929,2011,907,13.5,15.0,
Berg,1929,2012,887,13.399999999999999,15.0,
Berg,1929,2013,924,13.8,20.0,
Berg,1929,2014,918,15.6,17.0,
Berg,1929,2015,905,15.7,20.0,70396.0
Berg,1929,2016,915,17.0,21.0,74127.0
Fedje,1265,2009,596,18.0,14.0,
Fedje,1265,2010,594,17.9,19.0,
Fedje,1265,2011,587,18.2,17.0,
Fedje,1265,2012,576,18.0,23.0,
Fjell,1246,2007,20791,21.0,15.0,
Fjell,1246,2008,21207,21.5,20.0,
Fjell,1246,2009,21507,22.200000000000003,21.0,
Fjell,1246,2010,21823,22.7,23.0,
Fjell,1246,2011,22220,23.3,26.0,
Fjell,1246,2012,22720,23.8,30.0,
Fjell,1246,2013,23277,24.2,33.0,
Fjell,1246,2014,23852,25.200000000000003,35.0,
Fjell,1246,2015,24427,25.700000000000003,36.0,46500.0
Fjell,1246,2016,24870,26.3,35.0,48359.0
Fjell,1246,2017,25204,26.9,37.0,48965.0
Fjell,1246,2018,25725,27.200000000000003,38.0,50269.0
Gjesdal,1122,2007,9621,18.8,14.0,
Gjesdal,1122,2008,9729,19.099999999999998,18.0,
Gjesdal,1122,2009,9969,19.299999999999997,19.0,
Gjesdal,1122,2010,10208,20.200000000000003,21.0,
Gjesdal,1122,2011,10508,20.7,23.0,
Gjesdal,1122,2012,10778,21.400000000000002,28.0,
Gjesdal,1122,2013,11039,22.2,32.0,
Gjesdal,1122,2014,11317,23.6,34.0,
Gjesdal,1122,2015,11600,23.7,35.0,47036.0
Gjesdal,1122,2016,11853,24.5,36.0,50410.0
Gjesdal,1122,2017,11902,24.700000000000003,37.0,52053.0
Gjesdal,1122,2018,11866,24.7,38.0,53595.0
Gjesdal,1122,2019,11899,24.9,41.0,55055.0
Gjesdal,1122,2020,12002,25.700000000000003,41.0,57947.0
Hemnes,1832,2007,4510,15.2,5.0,
Hemnes,1832,2008,4478,15.5,8.0,
Hemnes,1832,2009,4527,15.9,8.0,
Hemnes,1832,2010,4584,15.799999999999999,10.0,
Hemnes,1832,2011,4600,16.0,12.0,
Hemnes,1832,2012,4585,16.6,13.0,
Hemnes,1832,2013,4620,17.1,16.0,
Hemnes,1832,2014,4553,17.8,17.0,
Hemnes,1832,2015,4528,18.0,19.0,58919.0
Hemnes,1832,2016,4486,18.5,20.0,60570.0
Hemnes,1832,2017,4524,19.599999999999998,21.0,62288.0
Hemnes,1832,2018,4503,19.9,23.0,64850.0
Hemnes,1832,2019,4501,20.200000000000003,24.0,66809.0
Hemnes,1832,2020,4454,20.5,26.0,69224.0
Lenvik,1931,2007,11027,17.5,7.0,
Lenvik,1931,2008,11160,18.1,10.0,
Lenvik,1931,2009,11207,18.8,9.0,
Lenvik,1931,2010,11243,19.1,12.0,
Lenvik,1931,2011,11294,19.6,14.0,
Lenvik,1931,2012,11345,20.200000000000003,17.0,
Lenvik,1931,2013,11455,20.599999999999998,19.0,
Lenvik,1931,2014,11557,21.3,22.0,
Lenvik,1931,2015,11535,21.599999999999998,24.0,56322.0
Lenvik,1931,2016,11618,22.4,25.0,58405.0
Lenvik,1931,2017,11697,22.5,26.0,60380.0
Lenvik,1931,2018,11644,23.099999999999998,28.0,61452.0
Lenvik,1931,2019,11679,23.4,31.0,64545.0
Radøy,1260,2007,4658,15.4,9.0,
Radøy,1260,2008,4794,16.0,12.0,
Radøy,1260,2009,4825,16.5,14.0,
Radøy,1260,2010,4825,17.0,14.0,
Radøy,1260,2011,4896,17.4,17.0,
Radøy,1260,2012,4952,17.8,20.0,
Radøy,1260,2013,5003,18.0,23.0,
Radøy,1260,2014,5039,18.4,24.0,
Radøy,1260,2015,5014,18.7,26.0,51527.0
Radøy,1260,2016,5077,19.3,27.0,53630.0
Radøy,1260,2017,5128,19.8,29.0,55812.0
Radøy,1260,2018,5129,20.099999999999998,30.0,57867.0
Radøy,1260,2019,5091,19.7,32.0,60031.0
Rennebu,1635,2007,2635,14.600000000000001,5.0,
Rennebu,1635,2008,2594,15.0,7.0,
Rennebu,1635,2009,2621,15.6,6.0,
Rennebu,1635,2010,2622,15.899999999999999,9.0,
Rennebu,1635,2011,2629,15.7,12.0,
Rennebu,1635,2012,2569,16.1,14.0,
Rennebu,1635,2013,2534,16.5,17.0,
Rennebu,1635,2014,2556,16.9,19.0,
Rennebu,1635,2015,2567,17.3,21.0,58003.0
Rennebu,1635,2016,2562,17.8,22.0,61672.0
Rennebu,1635,2017,2556,17.9,22.0,63314.0
Rennebu,5022,2018,2541,18.3,23.0,65329.0
Rennebu,5022,2019,2501,18.4,25.0,67013.0
Rennebu,5022,2020,2486,18.8,26.0,70381.0
Sarpsborg,0105,2007,50593,18.7,6.0,
Sarpsborg,0105,2008,51053,19.1,8.0,
Sarpsborg,0105,2009,51723,19.5,8.0,
Sarpsborg,0105,2010,52159,19.9,9.0,
Sarpsborg,0105,2011,52805,20.2,11.0,
Sarpsborg,0105,2012,53333,20.8,13.0,
Sarpsborg,0105,2013,53696,21.3,15.0,
Sarpsborg,0105,2014,54059,22.0,17.0,
Sarpsborg,0105,2015,54192,22.8,19.0,47847.0
Sarpsborg,0105,2016,54678,23.4,20.0,50196.0
Sarpsborg,0105,2017,55127,24.099999999999998,22.0,51970.0
Sarpsborg,0105,2018,55543,24.5,24.0,53207.0
Sarpsborg,0105,2019,55997,25.0,26.0,55223.0
Sarpsborg,3003,2020,56732,25.6,27.0,57477.0
Sarpsborg,3003,2021,57372,26.4,30.0,62190.0
Senja,5421,2020,14851,23.0,30.0,73999.0
Torsken,1928,2007,978,9.3,5.0,
Torsken,1928,2008,937,9.8,8.0,
Torsken,1928,2009,916,9.6,9.0,
Torsken,1928,2010,899,9.9,12.0,
Tvedestrand,0914,2007,5822,20.7,7.0,
Tvedestrand,0914,2008,5874,21.0,9.0,
Tvedestrand,0914,2009,5939,21.599999999999998,9.0,
Tvedestrand,0914,2010,5939,22.1,11.0,
Tvedestrand,0914,2011,5969,22.4,13.0,
Tvedestrand,0914,2012,6019,23.1,15.0,
Tvedestrand,0914,2013,6064,23.1,17.0,
Tvedestrand,0914,2014,6059,23.599999999999998,19.0,
Tvedestrand,0914,2015,6048,24.200000000000003,20.0,52383.0
Tvedestrand,0914,2016,6014,24.9,21.0,54993.0
Tvedestrand,0914,2017,6051,25.400000000000002,21.0,56536.0
Tvedestrand,0914,2018,6086,26.0,24.0,58500.0
Tvedestrand,0914,2019,6069,26.099999999999998,26.0,60491.0
Tvedestrand,4213,2020,6053,27.0,27.0,61935.0
Tvedestrand,4213,2021,6067,27.4,29.0,65576.0
Vegårshei,0912,2007,1864,17.5,7.0,
Vegårshei,0912,2008,1884,18.6,11.0,
Vegårshei,0912,2009,1881,19.9,12.0,
Vegårshei,0912,2010,1886,20.6,11.0,
Vegårshei,0912,2011,1922,20.2,14.0,
Vegårshei,0912,2012,1933,21.1,15.0,
Vegårshei,0912,2013,1986,21.0,18.0,
Vegårshei,0912,2014,2000,22.0,18.0,
Vegårshei,0912,2015,2018,23.1,19.0,62455.0
Vegårshei,0912,2016,2036,23.6,19.0,62778.0
Vegårshei,0912,2017,2104,23.6,23.0,65403.0
Vegårshei,0912,2018,2087,24.1,26.0,66213.0
Vegårshei,0912,2019,2093,25.2,28.0,68380.0
Vegårshei,4212,2020,2097,25.2,31.0,69353.0
Vennesla,1014,2007,12555,14.100000000000001,8.0,
Vennesla,1014,2008,12776,14.6,11.0,
Vennesla,1014,2009,12886,14.8,11.0,
Vennesla,1014,2010,13116,15.5,12.0,
Vennesla,1014,2011,13334,16.1,14.0,
Vennesla,1014,2012,13583,16.5,16.0,
Vennesla,1014,2013,13756,17.2,18.0,
Vennesla,1014,2014,13986,18.1,20.0,
Vennesla,1014,2015,14095,19.0,21.0,48423.0
Vennesla,1014,2016,14308,19.400000000000002,22.0,50600.0
Vennesla,1014,2017,14425,19.8,24.0,52329.0
Vennesla,1014,2018,14532,20.3,26.0,54012.0
Vennesla,1014,2019,14630,20.799999999999997,29.0,56112.0
Vennesla,4223,2020,14774,21.200000000000003,29.0,57401.0
Vennesla,4223,2021,14935,21.6,32.0,62395.0
Åmli,0929,2007,1815,18.0,6.0,
Åmli,0929,2008,1836,18.7,7.0,
Åmli,0929,2009,1855,19.400000000000002,9.0,
Åmli,0929,2010,1861,19.1,10.0,
Åmli,0929,2011,1829,19.400000000000002,12.0,
Åmli,0929,2012,1825,20.1,12.0,
Åmli,0929,2013,1815,19.9,13.0,
Åmli,0929,2014,1810,20.2,16.0,
Åmli,0929,2015,1832,21.0,17.0,66450.0
